structure_wikidata,smiles,cas
http://www.wikidata.org/entity/Q27102217,C([C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O)O,59-23-4
http://www.wikidata.org/entity/Q78172907,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O,528-16-5
http://www.wikidata.org/entity/Q620730,C(C(=O)O)N,56-40-6
http://www.wikidata.org/entity/Q20035886,OC(=O)[C@@H]1CCCN1,147-85-3
http://www.wikidata.org/entity/Q122043,C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,57-48-7
http://www.wikidata.org/entity/Q318369,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,61-19-8
http://www.wikidata.org/entity/Q418865,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,59-56-3
http://www.wikidata.org/entity/Q5516412,CCCCCCCCCC/C=C\CCCCCCCC(=O)O,29204-02-2
http://www.wikidata.org/entity/Q418826,C(COP(=O)(O)O)N,1071-23-4
http://www.wikidata.org/entity/Q484940,CC[C@H](C)[C@H](N)C(O)=O,73-32-5
http://www.wikidata.org/entity/Q481822,CC(=O)NO,546-88-3
http://www.wikidata.org/entity/Q483752,CC(C)[C@H](N)C(O)=O,72-18-4
http://www.wikidata.org/entity/Q27106307,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,10257-28-0
http://www.wikidata.org/entity/Q32904835,C(C(C(=O)O)O)OP(=O)(O)O,820-11-1
http://www.wikidata.org/entity/Q60998677,OC(=O)[C@@H]1CCC(=O)N1,98-79-3
http://www.wikidata.org/entity/Q161249,CC(C(=O)O)O,50-21-5
http://www.wikidata.org/entity/Q48318,C(=O)(N)N,57-13-6
http://www.wikidata.org/entity/Q170545,N[C@@H](CC1=CC=CC=C1)C(O)=O,63-91-2
http://www.wikidata.org/entity/Q213050,C(CC(=O)O)C(=O)O,110-15-6
http://www.wikidata.org/entity/Q183290,N[C@@H](CO)C(O)=O,56-45-1
http://www.wikidata.org/entity/Q190143,C(C(C(=O)O)O)C(=O)O,6915-15-7
http://www.wikidata.org/entity/Q186521,C[C@H]([C@@H](C(=O)O)N)O,72-19-5
http://www.wikidata.org/entity/Q415945,C[C@@H](CCC[C@@H](C)CCC/C(=C/CO)/C)CCCC(C)C,150-86-7
http://www.wikidata.org/entity/Q27104222,C(CC(=O)O)[C@H](C(=O)O)O,13095-47-1
http://www.wikidata.org/entity/Q26995161,C(CC(=O)O)[C@@H](C(=O)O)N,56-86-0
http://www.wikidata.org/entity/Q27093499,C([C@H](COP(=O)(O)O)O)O,17989-41-2
http://www.wikidata.org/entity/Q4027534,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,57-50-1
http://www.wikidata.org/entity/Q27098121,CC(CC(=O)O)(C(=O)O)O,597-44-4
http://www.wikidata.org/entity/Q485277,N[C@@H](CC1=CNC=N1)C(O)=O,71-00-1
http://www.wikidata.org/entity/Q409373,C(C(=O)O)O,79-14-1
http://www.wikidata.org/entity/Q132501,C(C(CO)O)O,56-81-5
http://www.wikidata.org/entity/Q170002,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,69-79-4
