smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
C1=CC(=C(C=C1O)C(=O)O)O,,0,,
C1=CC(=C(C=C1O)O)C(=O)O,,0,,
C1=CC(=C(C=C1[N+](=O)[O-])Cl)N,,1,,
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,,1,1,
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N,,1,,
C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,,1,1,
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],,1,,
C1=CC(=CC(=C1)N)C(=O)NN,,1,,
C1=CC(=CC(=C1)N)C(F)(F)F,,1,,
C1=CC(=CC(=C1)O)C(=O)O,,0,,
C1=CC(=CC(=C1)O)N,,1,0,
C1=CC(=CC(=C1)O)NC(=O)N,,0,,
C1=CC(=CC(=C1)[N+](=O)[O-])C#N,,0,,
C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],,0,0,
C1=CC(=CC=C1/C=N/N/C(=N/N=C/C2=CC=C(C=C2)Cl)/N)Cl,,1,,
C1=CC(=CC=C1C#N)O,,0,,
C1=CC(=CC=C1C(=O)O)C(=O)O,,1,,
C1=CC(=CC=C1C(=O)O)O,,0,0,0
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl,,1,,
C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,,1,,
C1=CC(=CC=C1C2=CC=C(C=C2)Cl)Cl,,1,,
C1=CC(=CC=C1C2=CC=C(C=C2)N)N,,1,,
C1=CC(=CC=C1CO)O,,0,,
C1=CC(=CC=C1N)O,,1,1,
C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,,1,0,
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,,0,,
C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl,,0,,
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,,1,1,
C1=CC(=CC=C1O)Cl,,1,0,1
C1=CC(=CC=C1OC2=C3C(=CC(=CC3=NC=C2)Cl)Cl)F,,1,1,1
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],,0,,
C1=CC(=NC(=C1)Cl)C(=O)O,,1,,
C1=CC(=NC(=C1)Cl)C(Cl)(Cl)Cl,,1,1,
C1=CC(=NC(=C1Cl)C(=O)O)Cl.C(CO)N,,0,,
C1=CC(=NC=C1C(F)(F)F)OCCCOC2=C(C=C(C=C2Cl)OCC=C(Cl)Cl)Cl,,1,1,1
C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,,1,,
C1=CC2=C(C=C1Cl)OC(=O)N2,,1,,
C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,,1,,
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,,1,0,
C1=CC2=NNN=C2C=C1,,0,,
C1=CC=C(C(=C1)C(=O)NCC(=O)O)O,,0,,
C1=CC=C(C(=C1)C(=O)O)C(=O)O,,0,0,
C1=CC=C(C(=C1)C(=O)O)O,,0,0,
C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl,,1,,
C1=CC=C(C(=C1)C=O)C=O,,1,1,
C1=CC=C(C(=C1)N)Br,,1,,
C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,,1,,
C1=CC=C(C(=C1)O)Br,,1,,
C1=CC=C(C=C1)/C=C(/[N+](=O)[O-])\Br,,1,,
C1=CC=C(C=C1)/C=C/C=O,,1,,
C1=CC=C(C=C1)C(C2=CC=C(C=C2)Cl)C(=O)C3C(=O)C4=CC=CC=C4C3=O,,1,,
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,,1,,
C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,,1,,
C1=CC=C(C=C1)C(F)(F)F,,1,1,
C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43,,1,,
C1=CC=C(C=C1)C2=CC=C(C=C2)Cl,,1,,
C1=CC=C(C=C1)C2=CC=CC=C2,,1,1,1
C1=CC=C(C=C1)C2=CC=CC=C2O,,1,1,
C1=CC=C(C=C1)CC2=C(C=CC(=C2)Cl)O,,1,,
C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,,0,,
C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)O,,1,,
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2C(=O)O,,0,0,
C1=CC=C(C=C1)COC(=O)CBr,,1,,
C1=CC=C(C=C1)Cl,,1,0,0
C1=CC=C(C=C1)NC(=O)NC2=CN=NS2,,1,1,1
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,,1,,
C1=CC=C(C=C1)NC2=CC=CC=C2,,1,1,
C1=CC=C(C=C1)NNC2=CC=CC=C2,,1,1,
C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,,1,,
C1=CC=C(C=C1)OC2=CC=CC(=C2)CO,,1,,
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC(=CC=C3)OP(=O)(OC4=CC=CC=C4)OC5=CC=CC=C5,,0,,
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,,1,,
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)N,,0,,
C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)O,,1,,
C1=CC=C2C(=C1)C(=O)N(C2=O)SC(Cl)(Cl)Cl,,1,1,1
C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,,1,0,0
C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,,1,,
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,,1,,
C1=CC=C2C(=C1)C3=CC=CC=C3N2,,1,,
C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,,1,,
C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,,1,,
C1=CC=C2C(=C1)C=CC3=CC=CC=C32,,1,1,
C1=CC=C2C(=C1)C=CC=C2O,,1,,
C1=CC=C2C(=C1)C=CC=N2,,0,0,
C1=CC=C2C(=C1)N=C(S2)SCSC#N,,1,1,
C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,,0,1,
C1=CC=C2C=C(C=CC2=C1)Cl,,1,,
C1=CC=C2C=C3C=C4C=CC=CC4=CC3=CC2=C1,,1,,
C1=CC=C2C=C3C=CC=CC3=CC2=C1,,1,,
C1=CC=C2C=CC=CC2=C1,,1,,
C1=CC=C2C=NN=CC2=C1,,0,0,
C1=CC=CC=C1,,0,0,
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,0,1,
C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N,,0,0,
C1=CN=CC=C1N,,1,0,
C1=COC(=C1)C=O,,0,0,0
C1=NC=NN1,,0,,
C1=NN(C=N1)CC(=O)O,,0,,
C1=NNC(=N1)N,,0,0,1
C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,,1,,
C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,,1,,
C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,,1,1,1
C1C(O1)(CC(Cl)(Cl)Cl)C2=CC(=CC(=C2)Cl)Cl,,1,,
C1C(O1)C2=CC=CC=C2,,0,0,
C1C2C(COS(=O)(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,1,,
C1C2CC3CC1CC(C2)(C3)N,,0,,
C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl,,1,1,1
C1CC1(C(=O)NC2=C(C=C(C=C2)Cl)Cl)C(=O)O,,0,1,1
C1CC1(C(CC2=CC=CC=C2Cl)(CN3C(=S)N=CN3)O)Cl,,1,,1
C1CC1NC2=NC(=NC(=N2)N)N,,0,,
C1CC2=CC=CC3=C2C1=CC=C3,,1,1,1
C1CC2C(C(C1O2)C(=O)O)C(=O)O,,0,,
C1CCC(=O)NCC1,,0,0,
C1CCC(CC1)Br,,1,,
C1CCC(CC1)CN,,0,,
C1CCCCC(C(C(CCCC1)(Br)Br)(Br)Br)(Br)Br,,0,,0
C1CCCCC1,,1,0,
C1CCS(=O)(=O)C1,,0,,
C1CN(C=N1)CCO,,1,,
C1CN(CCN1C(C(Cl)(Cl)Cl)NC=O)C(C(Cl)(Cl)Cl)NC=O,,0,,
C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,,1,,
C1CNC(=C[N+](=O)[O-])SC1,,0,,
C1COCO1,,0,,
C1CS(=O)C(=NO1)C2=CC3=CC=CC=C3S2,,1,1,1
C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,,0,0,
C1C[C@H]2N3CCN(C3=C([C@@H]1O2)[N+](=O)[O-])CC4=CN=C(C=C4)Cl,,0,,
C1N(CN(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,0,0,
C1N(CN(CN1CCO)CCO)CCO,,0,,
C1N2CN3CN1CN(C2)C3,,0,,
C1OCOCO1,,0,,
C1[C@@H]2[C@@H]3[C@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,,1,,
C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl,,1,1,
C=CC1=CC=CC=C1,,1,1,0
C=CC=O,,1,1,1
C=CCC1=CC=CC=C1O,,1,,
C=CCN(CC=C)C(=O)C(Cl)Cl,,0,,
C=CCN=C=S,,1,,
CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,,1,,
CC(=CC1C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,,1,,
CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,,1,,
CC(=CC1C(C1(C)C)C(=O)OCN2C(=O)CN(C2=O)CC#C)C,,1,,
CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,,1,,
CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,,1,,
CC(=CCCC(C)(C=C)O)C,,0,,
CC(=C[C@@H]1[C@H](C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C,,1,,
CC(=O)C1=CC=CC=C1O,,0,,
CC(=O)CC(=O)C,,0,,
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,,0,,
CC(=O)N(CCN(C(=O)C)C(=O)C)C(=O)C,,0,,
CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,,1,,
CC(=O)NC1=CC=C(C=C1)O,,0,,
CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,,0,,
CC(C(=O)OC)O,,0,,
CC(C(=O)OC)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)Cl,,1,,
CC(C)(/C=N/OC(=O)NC)S(=O)(=O)C,,1,,
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl,,1,1,1
CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,,1,,
CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,,0,,
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,,0,0,
CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl,,1,1,1
CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,,1,,
CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)Cl)O,,1,,
CC(C)(C)C1=CC(=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3)C(C)(C)C,,1,,
CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C,,1,,
CC(C)(C)C1=CC=C(C=C1)CCOC2=NC=NC3=CC=CC=C32,,1,1,
CC(C)(C)C1=CC=C(C=C1)CSC2=C(C(=O)N(N=C2)C(C)(C)C)Cl,,1,1,1
CC(C)(C)C1=CC=C(C=C1)O,,1,,
CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,,1,0,
CC(C)(C)C1=NN=C(N(C1=O)N)SC,,0,1,1
CC(C)(C)N(C(=O)C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)Cl,,1,1,
CC(C)(C)NC1=NC(=NC(=N1)NC2CC2)SC,,1,1,1
CC(C)(C)O,,0,0,
CC(C)(C)[C@H]([C@@H](CC1=CC=C(C=C1)Cl)N2C=NC=N2)O,,0,0,
CC(C)(C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3)C4=CC=C(C=C4)OP(=O)(OC5=CC=CC=C5)OC6=CC=CC=C6,,1,,
CC(C)C1(C(=O)NC(=N1)C2=C(C=C(C=N2)COC)C(=O)O)C,,0,1,1
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C,,0,,
CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C,,0,,
CC(C)C1=C(C(=CC=C1)C(C)C)N,,0,,
CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,,1,1,
CC(C)C1=CC=CC=C1,,0,1,
CC(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3.C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,1,,
CC(C)C1CCC(C1(CN2C=NC=N2)O)CC3=CC=C(C=C3)Cl,,1,,
CC(C)C=O,,0,,
CC(C)CC1=C(C(=NC(=C1C(=O)OC)C(F)F)C(F)(F)F)C2=NCCS2,,1,1,1
CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC,,0,1,
CC(C)CCCC(C)C/C=C/C(=C/C(=O)OCC#C)/C,,1,,
CC(C)CCCCCCCCCCCCCCCOCCOCCO,,0,,
CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,,1,,
CC(C)CCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC(C)C,,1,,
CC(C)CO,,0,0,
CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl,,1,1,1
CC(C)N(C)S(=O)(=O)NC(=O)C1=CC(=C(C=C1Cl)F)N2C(=O)C=C(N(C2=O)C)C(F)(F)F,,0,1,1
CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,,1,1,
CC(C)NC1=NC(=NC(=N1)N)Cl,,0,,
CC(C)NC1=NC(=NC(=N1)NC)SC,,0,,
CC(C)NC1=NC(=NC(=N1)OC)NC(C)C,,0,1,
CC(C)NC1=NC(=NC(=N1)SC)N=[N+]=[N-],,0,,
CC(C)NC1=NC(=O)NC(=N1)N,,0,,
CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,,0,,
CC(C)NCC1=CC=CC=C1,,0,,
CC(C)O,,0,0,
CC(C)OC(=O)/C=C(\C)/C=C/CC(C)CCCC(C)(C)OC,,1,,
CC(C)OC(=O)C(C)O,,0,0,
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,,1,1,
CC(C)OC(=O)NNC1=C(C=CC(=C1)C2=CC=CC=C2)OC,,1,1,
CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl,,1,1,1
CC(C)OC1=CC=CC=C1OC(=O)NC,,1,1,
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)C1=CC=CC=C1,,1,1,1
CC(C)[C@H](C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,,1,,
CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,,1,,
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O,,0,1,
CC(CC(C)(C)O)O,,0,,
CC(CCC=C(C)C)CC=O,,0,,
CC(CCO)OC,,0,,
CC(CN(CC(C)O)CC(C)O)O.C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,,0,,
CC(CO)O,,0,,
CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,,1,1,
CC(CSS(=O)(=O)C)O,,0,,
CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,,1,,
CC/C(=N\OCC)/C1=C(CC(CC1=O)C2=C(C=C(C=C2C)C)C)O,,0,1,0
CC1(C(=O)N(C(=O)N1Br)Br)C,,1,,
CC1(C(=O)N(C(=O)N1Br)Cl)C,,1,,
CC1(C(=O)N(C(=O)O1)NC2=CC=CC=C2)C3=CC=C(C=C3)OC4=CC=CC=C4,,1,1,1
CC1(C(C1(C)C)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C,,1,,
CC1(C(C1C(=O)OC(C#N)C2=CC(=C(C=C2)F)OC3=CC=CC=C3)C=C(Cl)Cl)C,,1,1,
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,,1,,
CC1(C2CCC(O1)(CC2)C)C,,0,0,
CC1(CC(CC(C1)(C)CN)N)C,,0,,
CC1(CC/C(=C\C2=CC=C(C=C2)Cl)/C1(CN3C=NC=N3)O)C,,1,1,1
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C,,1,1,
CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl,,0,1,
CC1(CN=C(NC1)NN=C(/C=C/C2=CC=C(C=C2)C(F)(F)F)/C=C/C3=CC=C(C=C3)C(F)(F)F)C,,1,,1
CC1(CON(C1=O)CC2=CC=CC=C2Cl)C,,1,1,1
CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,,1,,
CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,,1,,
CC1([C@H]2CCC(=C)[C@@H]1C2)C,,1,,
CC1=C(C(=C(C=C1)[N+](=O)[O-])N)[N+](=O)[O-],,1,,
CC1=C(C(=CC=C1)C)N(C(=O)COC)N2CCOC2=O,,0,1,
CC1=C(C(=CC=C1)[N+](=O)[O-])[N+](=O)[O-],,1,1,1
CC1=C(C(=CS1)C(=O)OC)S(=O)(=O)NC(=O)N2C(=O)N(C(=N2)OC)C,,0,1,0
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,,1,,
CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2C(C2(C)C)C=C(C)C)C/C=C/C=C.CC1=C(C(=O)CC1OC(=O)[C@@H]2C(C2(C)C)/C=C(\C)/C(=O)OC)C/C=C/C=C,,1,,
CC1=C(C(=O)N(C(=O)N1)C(C)(C)C)Cl,,0,1,1
CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C,,0,0,1
CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],,1,,
CC1=C(C=C(C=C1)N)Cl,,1,,
CC1=C(C=C(C=C1)N)N,,1,1,
CC1=C(C=C(C=C1)N)[N+](=O)[O-],,0,0,
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)N,,0,,
CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C,,1,0,
CC1=C(C=CC(=C1)Cl)OCC(=O)O,,0,0,
CC1=C(C=CC(=C1)Cl)O[C@H](C)C(=O)O,,0,,
CC1=C(C=CC(=C1)O)Cl,,1,,
CC1=C(C=CC(=C1)OC(=O)NC)N(C)C,,1,,
CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,,1,1,
CC1=C(C=CC(=C1)OP(=S)(OC)OC)[N+](=O)[O-],,1,1,
CC1=C(C=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],,1,,
CC1=C(C=CC(=C1[N+](=O)[O-])N)[N+](=O)[O-],,1,,
CC1=C(C=CC(=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,1,,
CC1=C(C=CC=C1[N+](=O)[O-])N,,0,0,
CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],,0,0,
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,,1,0,
CC1=C(S(=O)(=O)CCS1(=O)=O)C,,0,,
CC1=C2C=CC=CC2=CC3=CC=CC=C13,,1,,
CC1=CC(=C(C(=C1)C)C2=C(C3(CCCC3)OC2=O)OC(=O)CC(C)(C)C)C,,1,1,
CC1=CC(=C(C(=C1)C)O)C,,1,1,
CC1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-],,0,,
CC1=CC(=C(C(=C1C(=O)C2=C(C=CC(=C2C)Br)OC)OC)OC)OC,,0,1,1
CC1=CC(=C(C=C1)C)C,,1,,
CC1=CC(=C(C=C1)N)C,,1,0,
CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C,,1,,
CC1=CC(=C(C=C1)O)C,,1,1,
CC1=CC(=C(C=C1)O)N,,1,,
CC1=CC(=C(C=C1)[N+](=O)[O-])O,,0,,
CC1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],,1,,
CC1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C,,0,,
CC1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,,1,,
CC1=CC(=CC(=C1)C(=O)N(C(C)(C)C)NC(=O)C2=C(C(=CC=C2)OC)C)C,,1,1,
CC1=CC(=CC(=C1)C)C,,1,,
CC1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],,0,,
CC1=CC(=CC(=C1Cl)C)O,,1,,
CC1=CC(=CC(=C1N(C)C)C)OC(=O)NC,,1,,
CC1=CC(=CC(=C1N)C)O,,1,,
CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)C#N,,1,,
CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],,1,1,
CC1=CC(=CC(=C1SC)C)OC(=O)NC,,1,,
CC1=CC(=CC=C1)C,,1,1,
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC,,0,1,
CC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC)C,,0,1,1
CC1=CC(=NC(=N1)NC2=CC=CC=C2)C3CC3,,1,1,1
CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,,0,1,
CC1=CC(=NC(=O)N1)C.C1=CC(=CC=C1NC(=O)NC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],,0,,
CC1=CC(=O)NO1,,0,0,
CC1=CC2=CC=CC=C2C=C1,,1,1,
CC1=CC2=NNN=C2C=C1,,0,,
CC1=CC=C(C=C1)C,,1,1,
CC1=CC=C(C=C1)C(C)C,,1,0,0
CC1=CC=C(C=C1)C2=C(N=C(N2S(=O)(=O)N(C)C)C#N)Cl,,1,1,1
CC1=CC=C(C=C1)O,,1,0,
CC1=CC=C(C=C1)S(=O)(=O)C(I)I,,1,,
CC1=CC=C(C=C1)[N+](=O)[O-],,0,1,
CC1=CC=CC2=CC=CC=C12,,1,1,
CC1=CC=CC=C1,,1,0,0
CC1=CC=CC=C1C,,1,1,
CC1=CCC(=C(C)C)CC1,,1,,
CC1=CCC(=CC1)C(C)C,,1,,
CC1=CCC(CC1)C(=C)C,,0,,
CC1=CC[C@@H](CC1)C(=C)C,,1,,
CC1=CC[C@H](CC1)C(=C)C,,1,,
CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C,,0,,1
CC1=CSC(=C1N([C@@H](C)COC)C(=O)CCl)C,,0,,1
CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO,,1,,
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,,0,1,1
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F,,0,1,1
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2OCCCl,,0,1,
CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N,,0,,
CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC3=C(C=CC=C3F)F,,0,0,0
CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,,1,,
CC1=NN(C(=O)N1C(F)F)C2=C(C=C(C(=C2)NS(=O)(=O)C)Cl)Cl,,0,1,1
CC1=NNC(=O)N(C1)/N=C/C2=CN=CC=C2,,0,0,
CC1CC(OC(O1)C)OC(=O)C,,0,1,
CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,,0,1,
CC1CCCCC1,,1,1,
CC1CCCCC1NC(=O)NC2=CC=CC=C2,,0,1,
CC1OC(OC(OC(O1)C)C)C,,0,,
CCC(=O)C,,0,0,0
CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,,1,1,1
CCC(=O)O,,0,,
CCC(C)(C)OC,,0,0,
CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC,,1,,
CCC(C)N1C(=O)C(=C(NC1=O)C)Br,,0,1,1
CCC(C)O,,0,,
CCC(C)SP(=O)(N1CCSC1=O)OCC,,1,1,
CCC(C)SP(=O)(OCC)SC(C)CC,,1,,
CCC(CO)(CO)CO,,0,,
CCC/C(=N\OCC)/C1=C(CC(CC1=O)CC(C)SCC)O,,0,1,
CCC12COCN1COC2,,0,,
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,,1,1,
CCC1=CC(=CC(=C1C2=C(N3CCOCCN3C2=O)OC(=O)C(C)(C)C)CC)C,,1,0,
CCC1=CC=C(C=C1)C(=O)NN(C(=O)C2=CC(=CC(=C2)C)C)C(C)(C)C,,1,1,
CCC1=CC=C(C=C1)N,,1,1,
CCC1=CC=C(C=C1)O,,1,0,
CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,,0,1,1
CCC1=CC=CC=C1,,1,0,0
CCC1=CC=CC=C1N,,0,0,
CCC1=NC(=CC(=N1)OP(=S)(OC)OC)OCC,,1,,
