smiles,EC50_drer,EC50_dmag,EC50_rsub,EC50_scos
C1=CC=C(C(=C1)N)Cl,1,1,0,
C1=CC=C(C(=C1)N)[N+](=O)[O-],0,1,0,
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,0,1,,
C1=CC=C(C=C1)C#N,0,,,
C1=CC=C(C=C1)C(=O)C2=C(C=C(C=C2)O)O,1,,,
C1=CC=C(C=C1)C2=NC(=CC(=N2)Cl)Cl,1,,,
C1=CC=C(C=C1)CCl,1,,,
C1=CC=C(C=C1)COC(=O)C2=C(N=C(S2)Cl)C(F)(F)F,1,,,
C1=CC=C(C=C1)N,0,1,0,
C1=CC=C(C=C1)O,0,0,0,0
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,1,1,1,
C1=CC=C(C=C1)[N+](=O)[O-],0,0,0,1
C1=CC=C2C(=C1)C3=C(N2)N=C(C=C3)N,1,,,
C1=CC=C2C(=C1)C3=CC=CC=C3[P+](=O)O2,0,0,,
C1=CC=NC=C1,0,,1,
C1C(O1)CCl,0,,,
C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,1,1,1,
C1C=CC2=CC=CC=C21,0,,,
C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,0,1,1,
C1CCC(CC1)O,0,,0,
C1CN(/C(=N/[N+](=O)[O-])/N1)CC2=CN=C(C=C2)Cl,0,0,,
C1COCCN1,1,,0,
C1N(CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1,0,,
C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@]5(C(=C([C@@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl,1,1,,
C=CC#N,0,0,0,
C=CC(=O)N,0,0,,
C=CCN,0,,,
C=CCOC(CN1C=CN=C1)C2=C(C=C(C=C2)Cl)Cl,0,1,1,
C=O,0,0,,
CC(=O)OC1=CC=CC=C1C(=O)O,0,0,,
CC(C(=O)N(C)C1=CC=CC=C1F)OC2=CC=C(C=C2)OC3=NC4=C(O3)C=C(C=C4)Cl,1,,,
CC(C)(/C=N/OC(=O)NC)SC,0,1,,0
CC(C)(C)C(=O)C(N1C=NC=N1)OC2=CC=C(C=C2)Cl,1,1,1,
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,0,1,1,
CC(C)(C)OO,0,,1,
CC(C)(C)[C@@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,1,1,,
CC(C)(C)[C@](CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,1,,,
CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,1,1,1,1
CC(C)(C1=CC(=C(C(=C1)Cl)O)Cl)C2=CC(=C(C(=C2)Cl)O)Cl,1,,,
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0,0,1,1
CC(C)(C1=CC=CC=C1)OO,0,,,
CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,1,1,,
CC(C)CC(C)NC1=CC(=O)C(=CC1=O)NC2=CC=CC=C2,1,,,
CC(C)CCCCCCCCCCN(CCCCCCCCCCC(C)C)CCCCCCCCCCC(C)C,1,,,
CC(C)CCCCCCCCCCNCCCCCCCCCCC(C)C,1,,,
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,0,1,,
CC(C)N,0,0,,
CC(C)NC(=O)N1CC(=O)N(C1=O)C2=CC(=CC(=C2)Cl)Cl,1,1,1,1
CC(C)NC(C)C,0,,0,
CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,1,0,1,1
CC(C)OC1=CC=CC(=C1)NC(=O)C2=CC=CC=C2C(F)(F)F,1,1,1,1
CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,1,1,,
CC(C)[C@H](C1=CC=C(C=C1)Cl)C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,1,,,
CC(C)[C@H](C1=CC=C(C=C1)Cl)C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,1,,,
CC(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0,,,
CC(C1=CC=CC=C1)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,1,,,
CC(COP(=O)(OCC(C)Cl)OCC(C)Cl)Cl,0,,,
CC(Cl)(Cl)Cl,0,0,0,0
CC/C(=N\OC/C=C/Cl)/C1=C(CC(CC1=O)CC(C)SCC)O,0,,0,
CC1(C(=O)N(C(=O)O1)C2=CC(=CC(=C2)Cl)Cl)C=C,1,1,1,1
CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,1,1,,
CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,0,1,,1
CC1([C@@H]([C@@H]1C(=O)O[C@@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C(/C(F)(F)F)\Cl)C,1,1,1,
